cik,sic,sic_description,name,tickers
20,3823,"Industrial Instruments For Measurement, Display, and Control",K TRON INTERNATIONAL INC,
51,7385,Services-Telephone Interconnect Systems,UC CORP,
63,6021,National Commercial Banks,FNW BANCORP INC,
1750,3720,Aircraft & Parts,AAR CORP,AIR
1761,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),TRANZONIC COMPANIES,
1800,2834,Pharmaceutical Preparations,ABBOTT LABORATORIES,ABT
1830,9995,Non-Operating Establishments,ABCO INC,
1848,5600,Retail-Apparel & Accessory Stores,ABERCROMBIE & FITCH CO,
1853,3711,Motor Vehicles & Passenger Car Bodies,"MotivNation, Inc.",
1923,1540,General Bldg Contractors - Nonresidential Bldgs,"SERVIDYNE, INC.",
1952,1700,Construction - Special Trade Contractors,IREX CORP,
1961,7372,Services-Prepackaged Software,GEMAXEL INC,
1969,4955,Hazardous Waste Management,AMETECH INC,
1985,6331,"Fire, Marine & Casualty Insurance",ACCEL INTERNATIONAL CORP,
1988,3577,"Computer Peripheral Equipment, NEC",ACCESS CORP,
2024,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,ACE HARDWARE CORP,
2034,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",ACETO CORP,
2036,3743,Railroad Equipment,ACF INDUSTRIES INC,
2062,6351,Surety Insurance,ACMAT CORP,
2066,3829,"Measuring & Controlling Devices, NEC",ACME CLEVELAND CORP,
2070,3620,Electrical Industrial Apparatus,ACME ELECTRIC CORP,
2093,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",ACME METALS INC/,
2098,3420,"Cutlery, Handtools & General Hardware",ACME UNITED CORP,ACU
2135,7374,Services-Computer Processing & Data Preparation,AFFILIATED COMPUTER SERVICES INC,
2145,5190,Wholesale-Miscellaneous Nondurable Goods,ACTION INDUSTRIES INC,
2178,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),"ADAMS RESOURCES & ENERGY, INC.",
2186,3663,Radio & Tv Broadcasting & Communications Equipment,BK Technologies Corp,BKTI
2308,3578,Calculating & Accounting Machines (No Electronic Computers),ADDMASTER CORP,
2310,3555,Printing Trades Machinery & Equipment,MULTIGRAPHICS INC,
2435,3672,Printed Circuit Boards,ADVANCE CIRCUITS INC,
2457,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,ADVANCE ROSS CORP,
2467,7373,Services-Computer Integrated Systems Design,ADVANCED COMPUTER TECHNIQUES CORP,
2488,3674,Semiconductors & Related Devices,ADVANCED MICRO DEVICES INC,AMD
2491,7372,Services-Prepackaged Software,"BALLY TECHNOLOGIES, INC.",
2589,8711,Services-Engineering Services,AERO SYSTEMS ENGINEERING INC,
2601,3674,Semiconductors & Related Devices,AEROFLEX INC,
2648,6321,Accident & Health Insurance,AETNA SERVICES INC /CT/,
2668,7380,Services-Miscellaneous Business Services,AFA PROTECTIVE SYSTEMS INC,
2732,8880,American Depositary Receipts,AFRIKANDER LEASE LTD /ADR/,
